"Global Voices Online Â» Alex Castro: A liberal, libertarian and libertine Brazilian blogger http://ff.im/-6izrC",POLIT
Do the Conservatives Have a Death Wish? http://bit.ly/323Kq5,POLIT
RT @AllianceAlert: * House Dems ask for civility at town halls and invoke George Washington in quest for socialism http://bit.ly/19BktL,POLIT
RT @AdamSmithInst Quote of the week: My political opinions lean more and more towards Anarchy http://bit.ly/71NT5u &lt;Tolkien the anarchist?!,POLIT
@mystic23 I also think that most liberals don't spend a lot of time thinking about tolerating. Tolerance connotes condescension.,POLIT
@Karoli check @RepJackKimble explains brownshirts. Conservative action plan for august recess http://bit.ly/1902Aa All mtgs disrupted,POLIT
Finally US asks for extradition of Polanski - what were they waiting for? http://news.bbc.co.uk/1/hi/world/europe/8321927.stm #feminism,POLIT
RT @Shoq: FUNNY! Teabagger @sanuzis quoting (but not understanding) Liberal Justice. William O Douglas. WHAT A HOOT http://bit.ly/6AO ...,POLIT
"progressives continue to fight for both ""Medicare for All"" and the hybrid public option. http://bit.ly/qe8r",POLIT
RT @1ststarfighter RT @IAmSoSmart:RT @davegj: Anti-capitalism Propgnda aimed @ UR KIDS! http://bit.ly/NL0gd #gop #tcot #iamthemob #right,POLIT
Rooting for the United States to fail - Northwest Progressive Institute Official Blog (blog) http://cli.gs/BSQBG,POLIT
Another Liberal from Massachusetts Attacks Palin and Proves That He Doesnâ€™t Know What Heâ€™s Talking About http://bit.ly/1apDVO,POLIT
Is your faith in the city's progressives strong enough to move mountains? How about 109-year old homes: SFAppeal http://bit.ly/M7QQO,POLIT
Socialists have declared jihad on the Constitution and attack on several fronts,POLIT
RT @Joshuabradenp: The Conservative stands on the shoulders of our Founders... While the Liberal stands on their throats! #p2 #ucot @JoeNBC,POLIT
"RE: @tvnewser Overall excellence? All this is about... is having Liberals handing out their awards to NBC, the biggest Lâ€¦ http://disq.us/px0",POLIT
NatPost David Akin: Detainee issue? What detainee issue?: The federal Conservatives headed into.. http://cli.gs/3peqB #polhack,POLIT
RT @GOT2SNAP: #CNN PROTEST! #TCOTCan You Hear Us Now? Liberal Media Bias Called Out! Tea P... http://bit.ly/19VJob,POLIT
Feminism Is Key To 'Making Of A Slave' http://ur1.ca/f3lo,POLIT
RT @Mickeleh: Who has healthcare leverage in Dem. Cong. Caucusâ€”Blue Dogs or the progressives? Good analysis from mcjoan http://bit.ly/4uCx6b,POLIT
STAND UP FOR BECK:RT @organicsgrow P&G 513-983-1100 Progressive Christy 440-395-0135 Coleen 937-865-1624 here r #s 2 call that dropped ads,POLIT
RT @SmartGirlNation New article:Is there room in the Republican tent for conservatives? http://tinyurl.com/ygux6cj @mkhammer @karlrove #tcot,POLIT
"There are no barriers between us (men vs women), Miss Venezuela? Really? I'm no hardcore feminist, but that's a little naive of her.",POLIT
rt rt rt rt Video: Walter Cronkite In Defense of Liberalism: http://bit.ly/YLxVp (via @amadril @EileenLeft).. http://tinyurl.com/mcm8wl [RT],POLIT
The new capitalism http://bit.ly/2OJcfG #capitalism #socent,POLIT
The Underground Conservative: Al-CNN Tries Smearing 9/12 As â€¦: 5 â€¦ 4 â€¦ 3 â€¦ 2 â€¦ 1 â€¦.. http://bit.ly/WWN4M,POLIT
"Reds under beds! RT @JaanKyle @nelsontejada oh hell yeah he was, racist as all hell. and socialist",POLIT
"RT @kasons4: @stunetii Are you frickin kidding me. <<<looney liberal>>>> #tcot #912 #iamthemob. Look, More right wing name calling",POLIT
The Sonoran Alliance: Tom Horneâ€™s liberal record: As the political prospects of Superintendent of Public Instruc.. http://bit.ly/xRoRD,POLIT
OK the Republican party (Socialism Lite) is not standing up for the Constitution. They want to implement their plan.. NO PLAN! Jeez..,POLIT
"I thought conservatives we're champions of personal responsibility, the crux of this msg. Maybe they just hate the messenger? #hypocrisy",POLIT
The Death of a Liberal Lion Commands ... - The ... http://bit.ly/t6tFl,POLIT
"@AmandaCarpenter I think Conservatives owe Glenn Beck a major debt, certainly the GOP that sat on their hands and were johnny come lately.",POLIT
http://bit.ly/Xju2q Conservative Revolutionary American Party III: '.. http://tinyurl.com/ya6dgjf http://bit.ly/Xju2q,POLIT
"But, of course, the 50m uninsured who might be saved by such reform represent a voiceless minority, silent in a conservative shadow...",POLIT
Iowa Liberal: Health care reform is most vehemently opposed among people who think Bush was a pussy for not taki.. http://bit.ly/492Ryr,POLIT
